OBJECTID,TREE_ID,TREE_NUMBER,HEIGHT_M,GIRTH,AGE_CLASS,SPECIES_ID,SCIENTIFIC_NAME,POPULAR_NAME,NBN_TAXON_VERSION_KEY,EASTING,NORTHING,LATITUDE,LONGITUDE
45121,"{9C43CCC7-12E0-45B9-B886-CDA0197D2DA9}","COLDSIDE329","0-5m.","50-100cm","Mature",653,"Malus sylvestris","European crabapple","NHMSYS0000460572",339456,732214,56.4781310931022,-2.98451835363922
45201,"{360F2C4A-4FAD-4245-840C-4C69FC0F02F2}","THEFERRY585","15-20m.","100-150cm","Mature",438,"Castanea sativa","Sweet chestnut","NHMSYS0000456969",344960,731162,56.4693574610067,-2.89495282849152
45265,"{F726519E-0E0D-4FCA-9D27-E0C318664A68}","THEFERRY591","10-15m.","50-100cm","Mature",416,"Betula pendula","Silver birch","NBNSYS0000003827",347186,732114,56.4781644530921,-2.85902060458647
45281,"{85F79F06-BDF0-4096-B2D0-D42D1EA55E17}","MARYFIELD1036","0-5m.","20-25cm.","Young",424,"Amelanchier lamarckii","Snowy mespil","NHMSYS0000455859",340324.6,730221.800000001,56.460346764171,-2.96996264751021
45297,"{304E0F98-9F76-43AB-BED1-98F47AAB600A}","COLDSIDE336","0-5m.","25-50cm","Immature",364,"Prunus 'Shirotae'","Mount Fuji cherry",,339380,730665,56.4642071668914,-2.98539138447335
45313,"{B5644152-88C1-44C5-A4FA-80BA44C31634}","COLDSIDE338","5-10m.","50-100cm","Immature",593,"Tilia x euchlora","Caucasian lime","NHMSYS0001754475",339377,730652,56.4640900057385,-2.98543703758464
45329,"{F00766A8-4420-4A4C-BB4E-ADDC69434A0A}","COLDSIDE340","0-5m.","25-50cm","Immature",593,"Tilia x euchlora","Caucasian lime","NHMSYS0001754475",339400,730653,56.4641019507908,-2.98506407127094
45345,"{F2A5B3C3-4682-439A-8021-DD51B875AAD1}","COLDSIDE343","0-5m.","0-5cm.","Immature",593,"Tilia x euchlora","Caucasian lime","NHMSYS0001754475",339436,730654,56.4641155679848,-2.98448016601426
45361,"{BBD52091-339C-40FA-AD9B-973D274190B7}","WESTEND1219","0-5m.","0-5cm.","Young",,,,,339948,729967,56.4580100702506,-2.97601407467061
45377,"{316CE2B5-4607-4E02-949C-703500059B1E}","WESTEND1218","10-15m.","100-150cm","Mature",593,"Tilia x euchlora","Caucasian lime","NHMSYS0001754475",339956,729951,56.4578673675993,-2.97588060041701
45393,"{85C76DC6-D10E-46E0-B505-204D14144C1A}","WESTEND1222","0-5m.","15-20cm.","Young",,,,,337326,730167,56.4594647772885,-3.01859970446488
45409,"{91969ED9-6029-4B70-B141-C7B6D4EF4009}","WESTEND1225","0-5m.","15-20cm.","Young",325,"Prunus serrulata 'Shirofugen'","Japanese flowering cherry 'Shirofugen'",,338152,730528,56.4628167616493,-3.00528439812752
45425,"{AF9263D2-7EFB-4096-AD73-D34327E8D232}","WESTEND1226","0-5m.","25-50cm","Immature",325,"Prunus serrulata 'Shirofugen'","Japanese flowering cherry 'Shirofugen'",,338164,730538,56.4629081646486,-3.00509206665673
45441,"{C83C230B-59C7-4659-B54E-B6E360318C4B}","WESTEND1228","15-20m.","100-150cm","Mature",,,,,338183,730528,56.4628208345071,-3.00478141071711
45521,"{A09D5BAA-50F3-43A7-8656-77D77967611A}","STRATHMARTINE149","5-10m.","25-50cm","Semi-mature",649,"Fraxinus excelsior","European ash","NBNSYS0000003949",340082,733023,56.4854782405766,-2.97454335868267
45537,"{7B24E84B-795F-45F4-8AF3-3D7270C94599}","STRATHMARTINE151","5-10m.","25-50cm","Immature",471,"Sorbus aria 'Lutescens'","Whitebeam 'Lutescens'",,340079,733044,56.4856664942672,-2.97459690129008
